# Image list with two lines of data per image:
# IMAGE_ID, QW, QX, QY, QZ, TX, TY, TZ, CAMERA_ID, NAME
1 0.99879531503028995 -0.018325311033424385 0.039403685056765392 0.022791473252507431 0.14337684540984524 -3.8652938449486482 14.750868893868821 1 frame000002.png

2 0.98651003272738191 -0.017886643624682581 -0.1331316394422577 -0.093562759084370659 0.10781188229364735 -2.4211006168057891 12.809019062180477 2 frame000024.png

3 0.78968044565384687 -0.027335331148109064 -0.51839725621820609 -0.32698907958584844 -0.66168130501084699 -1.7961792718616314 11.083364364646243 3 frame000052.png

4 0.44386083889317041 -0.03589255575882716 -0.76120373331372393 -0.47145323896161667 -0.42619820946287712 -1.4107988432311718 10.647730060224045 4 frame000074.png

5 0.15357048803382523 -0.0024632889952070601 0.83041142226450859 0.53556223465159924 0.49167895950144103 -1.120378188635978 10.125353700131665 5 frame000101.png

6 0.71339314853963032 -0.019145238290097746 0.58702317538037418 0.38224006466338689 -0.023624047659706715 -0.90181781373432157 9.5836355560697797 6 frame000125.png

7 0.96814865379553061 -0.010273438453873815 0.2178194350015793 0.12303387481433156 -0.10701714885116964 -2.008306719602734 12.477139293464855 7 frame000153.png

8 0.99759804072171698 0.0080546738236476501 -0.054712814082042982 -0.04171066234201825 -0.25232012127253989 -1.5012674847055143 11.970391374443119 8 frame000175.png

9 0.84991975614212645 0.016851822592619865 -0.45279718460270868 -0.26893704432538784 -0.43973912592527142 -0.86163413586596871 12.382634858474262 9 frame000202.png

