# Image list with two lines of data per image:
# IMAGE_ID, QW, QX, QY, QZ, TX, TY, TZ, CAMERA_ID, NAME
1 0.99709787284690476 -0.021146341824597802 0.022450069080607982 0.069603581731767811 -0.26933614073526685 -1.1611509365982191 14.615801954018375 1 frame000002.png

2 0.98583370428443162 -0.0006630668291676212 -0.13862271140229687 -0.094420398869587016 1.0276716059604227 -1.9772021810131253 15.736810339737069 2 frame000024.png

3 0.77759001961793217 0.043131895466305928 -0.4653616724980939 -0.42063275520796556 -0.12491117455679746 -1.4454741005922642 14.345040866502138 3 frame000052.png

4 0.4342887192770048 0.064439602962891043 -0.6500356446369624 -0.62023745983303236 -0.39405094115312256 -2.0173752531671139 14.160423618048423 4 frame000075.png

5 0.078150575526961655 -0.097351694051158358 0.72834687080687033 0.6737402845281063 -0.33358801068791027 -1.3430454008334405 14.447554766016834 5 frame000102.png

6 0.49351053980593923 -0.12049793502857084 0.63981074351783518 0.57668865710490158 1.0933632404931126 -1.8989914339761187 14.709512793858135 6 frame000125.png

7 0.81611329957467149 -0.10799332507611158 0.4319043889507751 0.3684496204386784 1.076110800933054 -0.98080481360808047 14.105458622721359 7 frame000153.png

8 0.97534857499320571 -0.067655875701134294 0.1625546638888169 0.13301812278719319 1.1119457454113963 -0.76635160357714538 12.581335539962749 8 frame000175.png

9 0.99997928116328472 0.00036224401124411535 -0.0063628138307737503 -0.00090588276942268973 0.54886526239092592 -1.2260270026057609 13.47521474561484 9 frame000202.png

