# Image list with two lines of data per image:
# IMAGE_ID, QW, QX, QY, QZ, TX, TY, TZ, CAMERA_ID, NAME
1 0.42168516778427984 -0.098216975944469098 0.65996613660517522 0.6139867616174689 0.62636595828583985 -2.8132674803013744 10.656142986414336 1 frame000002.png

2 0.79228143848553589 -0.18418349277325879 0.3955368028784062 0.42651752694333933 0.17747028217028848 -0.79225826660862353 7.3283921517436905 2 frame000024.png

3 0.96438749949741742 -0.01590932893482238 0.23051461536357531 0.12871152306512829 -0.29252217352250398 -2.0931189748830636 10.657080398563711 3 frame000052.png

4 0.99163983366914177 -0.0023664266776014763 -0.10746602030187313 -0.071385536251355589 -0.64633614317719368 -1.6959599723244738 11.619173203509161 4 frame000075.png

5 0.79403350739986422 0.012931261754132929 -0.48854572834247256 -0.36147841279119097 -0.51224891514461057 -1.6696272594143102 11.884581326196168 5 frame000102.png

6 0.41199080773726471 0.030878448838301025 -0.73782872492659379 -0.53377792049740491 -0.38248278766378352 -2.2676397431884099 12.870108222861163 6 frame000125.png

7 0.1250580294127481 0.073738117855736085 -0.81806438125531267 -0.55650143519658291 0.18304784797478169 -4.5286837646984246 15.957283065736073 7 frame000153.png

8 0.17508737115023865 -0.059270350148200632 0.81602909482386898 0.54765678527518002 1.658511754123313 -4.0036913082709731 16.116319580123545 8 frame000175.png

9 0.32261509672626604 -0.021975906298787345 0.79298091496295031 0.51635048892314528 -0.86875070932421128 -3.0496864159577388 13.88067816650495 9 frame000202.png

