# Image list with two lines of data per image:
# IMAGE_ID, QW, QX, QY, QZ, TX, TY, TZ, CAMERA_ID, NAME
1 0.81801831712701534 -0.023899742670379767 0.29509632393509322 0.49314601767120636 -0.2560975649815278 -1.3768392510997323 13.974890320911275 1 frame000002.png

2 0.99715772771973632 -0.021053088063154909 0.022300525333848964 0.068818021634247328 -0.089827657410093215 -1.3094421670120502 13.632235474351271 2 frame000024.png

3 0.95037053672907068 0.0099829450817524937 -0.20109418385140898 -0.23718624105527067 -1.4170779478350124 -2.0357678644756025 13.335521554290329 3 frame000052.png

4 0.73871324998426069 0.014395368510399726 -0.43703541078710739 -0.51292841350551543 -0.70472459533511289 -1.4031842459201256 13.967828736136928 4 frame000075.png

5 0.4026741402179439 0.0047580369724659023 -0.5938106010317955 -0.69657725198729081 -0.72238194496718222 -1.536754706216704 14.227609334429925 5 frame000102.png

6 0.00058777041081776711 -0.012659895372466111 -0.63704846891812406 -0.77071955329041497 0.19623454663167658 -1.4772000949561443 14.659592369617526 6 frame000125.png

7 0.39401128706454619 0.013381539227003683 0.58358083639787961 0.70993622774359633 -0.24073184954070381 -1.7517858052878788 13.856728125107725 7 frame000153.png

8 0.7434342687296932 0.018481102324636588 0.43103366911324459 0.5110517713754511 1.0343573767668195 -0.90576632731905615 13.223408648924876 8 frame000175.png

9 0.77707905052694137 0.03281953781897208 0.39515554074919512 0.48879763275276544 -0.12197820952169902 -1.3277613902182985 11.722329649056244 9 frame000202.png

